tweet_text,prediction
"RT @NewTSage: Any cartoon or movie we grew up watching \"underrated\" on here https://t.co/w69gou4RM7",2.0
RT @Herbert_L_Reed: This must stop. Please make a statement on it @realDonaldTrump sir. https://t.co/toOUPJWH6a,0.0
RT @danielmarven: The 90 day rule only works in movies.,0.0
"Owen's father using his echolalia for disney movies with the Iago puppet to communicate with him is a genuinely very sweet moment. Also I'm glad echolalia is acknowledged, since it's a hugely common part of autism yet not talked about often. I engage in it constantly, myself.",4.0
definitely ‼️ https://t.co/QTsRYwSoEE,2.0
RT @danielmarven: The 90 day rule only works in movies.,0.0
did anyone else get so confused at the movies before watching The Incredibles II when they played that short film with the Chinese woman and the ball of dough that was treated like an actual child? bc if so I'm glad I'm not the only one.,0.0
"RT @ChaituAntePichi: NC vs RC  With Disaster Talk •Dhada Ap (2011) - 11crs •Toofan Ap (2013) - 10.2crs According To \"ABO\" Original Below 10…",2.0
"RT @DineshDSouza: I can promise you the same with the new movie “Death of a Nation,” out in 1,000 theaters nationwide on August 3 https://t…",2.0
"RT @thehill: Florida AG driven out of screening of Mr. Roger's movie by protesters chanting \"shame on you\" https://t.co/3USZbKw7ay https://…",2.0
@caffFilm @RMTheLastJedi This was the exact image I thought of when hearing about these assholes trying to remake a movie they didn’t like,0.0
RT @am_crawford23: BET &amp; VH1 show the same movies over &amp; over .,2.0
"RT @ChiggityChives: The Devil works hard, but Tom Holland works harder. https://t.co/otv594l9bT",4.0
RT @sonalSalmanK: I felt like Race3 was 1take movie. No retake. Don’t want this to happen again. I’ve watched your each film thrice in a th…,4.0
@IHateBeans2 A disgusting way of life. Movie theaters should really start cracking down.,0.0
"RT @RealJamesWoods: To be clear, @jaketapper blocks me. I believe he’s a biased, poor excuse for a “journalist.” I am, however, always goin…",0.0
Twerking For Bae  https://t.co/Q06uArzS3Z   lesbian ass finger and dildo action ebonycumcovered movie very thick dick in asshole porn bubblebutttryouts tweety valentine tube,4.0
"OGA at the Top - A 2018 Yoruba Movies best for your viewing pleasure. Starring: Jide Kosoko, Fathia... https://t.co/Uob7nroOuU",4.0
RT @MundoVoto: POWER VOTE #4!!!!!!  •150 RETWEETS = 150 VOTES  •150 REPLIES = 150 VOTES •DON'T ADD EMJOIS! •REPLIES CAN BE REPETITIVE  •RET…,0.0
Pornhub: Where every movie has a happy ending,4.0
Saw Jurassic World: Fallen Kingdom on Friday! Great first and third act. Middle of the film slowed down a lot. However I really enjoyed this movie. Had your caring about saving the dinosaurs. With some good morale decisions! Score: 75 #JurassicWorldFallenKingdom,4.0
"@bubbaprog @Timintampa I am against Pam Bondi being shamed out of the theater!  She should have been allowed to see THIS movie, at least.   If anyone ever needed some lessons from Mr. Rogers...",4.0
RT @Chainbody: movie theater:are u sneaking food in ur pockets  me:(trying to think of excuse)no its uhh  movie theater:what  Me: https://t…,2.0
"Instead of playing Tyler Perry movies all day, it would be cool for BET to play all the award shows dating back to as far back as they can go during the weekend of the #BETAwards. That’s the ultimate BET experience don’t you think?",0.0
@jaketapper @RichardDreyfuss Haha I was hiding from that shark in the movie on dryer land!! AJ @ajsileo914,2.0
Which one? https://t.co/fVobj9TNVD,4.0
I want a Falcon movie now https://t.co/uYqEt9OlG0,4.0
I hope you remember that movie and considering each sentence in the movie (to .....),2.0
RT @signofmedicinex: Next month we will be celebrating:  1 year of Dunkirk movie. 1 year of back to you. 8 years of one direction.  that's…,2.0
Favorite movie 💯 https://t.co/8Wdxrxznfm,2.0
RT @BoSnerdley: Trump-Friendly Florida AG Pam Bondi Driven Out Of Movie Theater: ‘Shame On You’ https://t.co/6RaF8Gmmz8 via @dailycaller,2.0
On Saturday going to a vue cinema no one in our town so never been to one before . Can i use my sons cea card their? #vue #Cinema #movies #jurrasicWorld #daysout #Autism #heatwave #weekend #film #dinosaur #ChrisPratt,4.0
RT @empyreall: yall only nasty on twitter. half of you niggas will sit through a subpar netflix movie for damn near two hours just cuddling…,2.0
RT @abigailspencer: It’s true. Thank you for all your support #Timeless fans! It’s been an absolute joy playing your Lucy. I sincerely hope…,0.0
"RT @krystclass: Korean media's article about Krystal &amp; Lay's movie is out~  \"China's Sina Ent has confirmed on June 21 that the movie 'Unex…",2.0
@inukeitha i need to catch up!! i only saw the first episode/tv movie thing,2.0
"RT @RealSaavedra: Left-Wing Activists Harass Florida AG Pam Bondi At Movie Theater, Spit On Her https://t.co/2rpR6DLHds",2.0
YOUNG MONEY CASH MONEY BILLIONAIRES pt 2 African Nollywood Movies https://t.co/ikm2IbpKup https://t.co/j9egy0V4of,2.0
"decided then to look at imdb and god, many people were outright destroying the movie",2.0
"\"You really need to buy in. You don't have a choice stupid pleb. But if you don't, especially if you voice opposition, well then you're a racist, sexist, xenophobic, homophobic, bigot.\"   \"But its just a game, or movie, or comic why so serious bro?\"",4.0
